"Börsdata ID";"Bolagsnamn";"Info - Ticker";"Info - Rapport";"F-Score - Poäng";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år";"Börsvärde - Senaste";"Info - Sektor";"Info - Bransch"
"48";"Nelly Group";"NELLY";"Q4-2025";"8";"-39,5%";"-24,7%";"78,9%";"1817";"Sällanköpsvaror";"Kläder & Skor"
"2209";"Wall to Wall";"WTW A";"Q4-2025";"4";"-22,2%";"-26,2%";"-45,6%";"437";"Industri";"Stödtjänster & Service"
"2109";"Pierce Group";"PIERCE";"Q4-2025";"4";"-23,1%";"-27,8%";"-4,8%";"773";"Sällanköpsvaror";"Bil & Motor"
"1678";"Green Landscaping";"GREEN";"Q4-2025";"5";"-7,9%";"-27,8%";"-38,0%";"2383";"Industri";"Stödtjänster & Service"
"178";"Precise Biometrics";"PREC";"Q4-2025";"5";"-19,4%";"-29,1%";"-43,3%";"158";"Informationsteknik";"Biometri"
"750";"Evolution";"EVO";"Q4-2025";"5";"-11,7%";"-29,9%";"-33,3%";"112291";"Sällanköpsvaror";"Betting & Casino"
"910";"Dometic";"DOM";"Q4-2025";"5";"-21,1%";"-29,9%";"-30,0%";"11438";"Sällanköpsvaror";"Bil & Motor"
"2329";"Dynavox Group";"DYVOX";"Q4-2025";"6";"-15,7%";"-30,3%";"29,0%";"8786";"Informationsteknik";"Biometri"
"746";"Troax Group";"TROAX";"Q4-2025";"5";"-31,0%";"-30,6%";"-49,9%";"5802";"Industri";"Installation & VVS"
"43";"BTS Group";"BTS B";"Q4-2025";"6";"-4,8%";"-30,7%";"-53,9%";"2549";"Industri";"Affärskonsulter"
"81";"Fagerhult";"FAG";"Q4-2025";"4";"-33,5%";"-31,4%";"-40,9%";"4784";"Industri";"Bygginredning"
"235";"Vitrolife";"VITR";"Q4-2025";"5";"-34,3%";"-31,8%";"-53,6%";"12393";"Hälsovård";"Medicinsk Utrustning"
"191";"Rottneros";"RROS";"Q4-2025";"2";"-23,7%";"-31,9%";"-74,0%";"591";"Material";"Skogsbolag"
"252";"Vitec Software";"VIT B";"Q4-2025";"6";"-23,9%";"-32,3%";"-60,9%";"9366";"Informationsteknik";"Affärs- & IT-System"
"1793";"Ascelia Pharma";"ACE";"Q4-2025";"1";"-1,2%";"-32,4%";"-15,8%";"375";"Hälsovård";"Läkemedel"
"466";"EQL Pharma";"EQL";"Q3-2026";"4";"13,0%";"-33,2%";"-32,0%";"1651";"Hälsovård";"Läkemedel"
"569";"Senzime";"SEZI";"Q4-2025";"2";"-8,5%";"-33,6%";"-21,2%";"694";"Hälsovård";"Medicinsk Utrustning"
"1517";"Balco Group";"BALCO";"Q4-2025";"3";"-7,0%";"-33,7%";"-57,5%";"351";"Industri";"Byggmaterial"
"244";"Boule Diagnostics";"BOUL";"Q4-2025";"5";"-31,9%";"-33,9%";"-53,4%";"156";"Hälsovård";"Medicinsk Utrustning"
"1075";"Infant Bacterial";"IBT B";"Q4-2025";"1";"14,1%";"-34,2%";"34,9%";"692";"Hälsovård";"Läkemedel"
"921";"Camurus";"CAMX";"Q4-2025";"7";"-21,2%";"-34,2%";"-28,4%";"28523";"Hälsovård";"Läkemedel"
"1011";"Garo";"GARO";"Q4-2025";"5";"-19,3%";"-34,5%";"-45,3%";"625";"Industri";"Elektroniska komponenter"
"1313";"B3 Consulting";"B3";"Q4-2025";"7";"-9,2%";"-34,7%";"-49,3%";"309";"Informationsteknik";"IT-Konsulter"
"2573";"Asker Healthcare";"ASKER";"Q4-2025";"5";"-32,7%";"-35,3%";;"23434";"Hälsovård";"Läkemedel"
"1487";"Sedana Medical";"SEDANA";"Q4-2025";"3";"-11,1%";"-35,6%";"-52,7%";"879";"Hälsovård";"Medicinsk Utrustning"
"184";"ProfilGruppen";"PROF B";"Q4-2025";"6";"-15,6%";"-35,9%";"-13,4%";"740";"Industri";"Industrikomponenter"
"2046";"Fasadgruppen";"FG";"Q4-2025";"3";"-14,6%";"-36,0%";"14,8%";"1225";"Industri";"Byggmaterial"
"1796";"Karnov";"KAR";"Q4-2025";"7";"-26,8%";"-36,4%";"-18,5%";"7837";"Industri";"Affärskonsulter"
